degisken,gecerli_gozlem,ilk_gecerli_ay,son_gecerli_ay
noter_devir_toplam_adet,102,2018-01-01,2026-06-01
noter_devir_otomobil_adet,102,2018-01-01,2026-06-01
odmd_toplam_adet,102,2018-01-01,2026-06-01
odmd_otomobil_adet,101,2018-01-01,2026-05-01
odmd_hta_adet,101,2018-01-01,2026-05-01
osd_binek_adet,102,2018-01-01,2026-06-01
osd_kamyonet_adet,102,2018-01-01,2026-06-01
osd_binek_kamyonet_toplam_adet,102,2018-01-01,2026-06-01
tufe_endeks,102,2018-01-01,2026-06-01
tufe_aylik_degisim,102,2018-01-01,2026-06-01
tuketici_guven_endeksi,102,2018-01-01,2026-06-01
otomobil_satinalma_ihtimali_endeksi,102,2018-01-01,2026-06-01
tasit_kredisi_faiz,102,2018-01-01,2026-06-01
politika_faizi,102,2018-01-01,2026-06-01
usdtry_aysonu_alis,102,2018-01-01,2026-06-01
usdtry_aysonu_satis,102,2018-01-01,2026-06-01
usdtry_aysonu,102,2018-01-01,2026-06-01
usdtry_ortalama_alis,102,2018-01-01,2026-06-01
usdtry_ortalama_satis,102,2018-01-01,2026-06-01
usdtry_ortalama,102,2018-01-01,2026-06-01
altin_gram_try,101,2018-01-01,2026-05-01
brut_ucret_maas_endeksi_2021_100,99,2018-01-01,2026-03-01
indicata_ilan_yayinlanan_adet,42,2023-01-01,2026-06-01
indicata_satisa_donen_adet,42,2023-01-01,2026-06-01
indicata_satis_ilan_orani_pct,42,2023-01-01,2026-06-01
indicata_ortalama_satis_hizi_gun,11,2024-01-01,2024-11-01
indicata_perakende_fiyat_aylik_pct,24,2024-01-01,2025-12-01
indicata_toptan_fiyat_aylik_pct,11,2024-02-01,2024-12-01
arabam_ortalama_ilan_fiyati_tl,27,2024-01-01,2026-06-01
arabam_reel_aylik_degisim_pct,16,2024-05-01,2026-04-01
betam_ortalama_ilan_fiyati_tl,30,2023-11-01,2026-06-01
betam_talep_aylik_pct,28,2024-01-01,2026-06-01
betam_satis_orani_pct,28,2024-01-01,2026-06-01
betam_dom_gun,28,2024-01-01,2026-06-01
otv_event_ay_mi,102,2018-01-01,2026-06-01
eurtry_ortalama,102,2018-01-01,2026-06-01
eurtry_aysonu,102,2018-01-01,2026-06-01
target_1ay_hiz,101,2018-02-01,2026-06-01
target_3ay_hiz,97,2018-06-01,2026-06-01
